Category,Neutral,Oppose,Support
"Branding, Marketing and Distribution 001",0,1,7
Dail Eireann 001,10,88,206
Dail Eireann 004,0,0,2
"Department of Agriculture, Food and the Marine 004",24,7,103
"Department of Arts, Heritage, Regional, Rural and Gaeltacht Affairs 001",0,0,5
"Department of Business, Employment and Retail 001",1,0,10
"Department of Environment, Climate and Communications 004",0,0,1
Department of Finance 001,1,1,21
Department of Health 001,0,0,9
"Department of Housing, Local Government and Heritage 001",0,0,6
"Department of Jobs, Enterprise and Innovation 001",0,0,1
Department of Justice and Equality 001,0,0,1
Department of Public Expenditure and Reform 001,2,0,0
Department of Rural and Community Development 001,0,0,53
Department of Social Protection 001,0,0,3
"Department of Transport, Tourism and Sport 001",0,0,16
Department of the Taoiseach 001,0,0,1
Government of Ireland 001,9,4,80
Inputs 009,1,0,2
Inputs 015,1,0,5
International organisation 007,0,10,1
NGO 001,0,0,1
NGO 002,1,3,6
NGO 004,2,1,1
NGO 005,2,2,5
NGO 008,0,0,2
NGO 009,0,1,0
NGO 011,1,3,2
NGO 015,0,0,7
NGO 016,3,0,2
NGO 017,1,0,6
NGO 024,0,0,5
NGO 025,3,0,4
NGO 026,1,0,9
NGO 028,0,0,4
NGO 029,0,0,10
Political Party 001,0,8,4
Political Party 002,23,40,151
Political Party 003,28,37,171
Political Party 004,11,26,195
Political Party 005,9,58,90
Political Party 006,4,10,75
Political Party 009,23,96,137
Political Party 010,3,11,22
Political Party 011,0,3,4
Political Party 012,0,2,3
Political Party 013,0,3,1
Political party 008,4,24,22
Processors 004,0,0,3
Processors 006,0,0,4
Processors 009,0,0,2
Producers 018,0,5,0
Research and Regulatory 020,3,0,11
Research and Regulatory 028,0,0,3
Research and Regulatory 029,3,2,4
Research and Regulatory 040,0,3,2
Research and Regulatory 043,1,0,1
Research and Regulatory 045,1,0,2
Research and Regulatory 047,3,0,6
Research and Regulatory 048,2,0,2
Research and Regulatory 053,1,0,0
Research and Regulatory 054,0,0,1
Research and Regulatory 055,0,2,9
Research and Regulatory 061,0,0,9
Research and Regulatory 079,0,0,1
Research and Regulatory 080,0,0,2
Research and Regulatory 086,0,0,1
Research and Regulatory 089,4,0,3
Research and Regulatory 090,1,2,1
Research and Regulatory 091,2,0,3
Research and Regulatory 092,2,0,8
Research and Regulatory 095,2,0,0
Research and Regulatory 097,0,0,4
Seanad Eireann 001,21,10,79
Semi-state agency  011,5,1,3
Semi-state agency 012,14,3,33
State Agencies  001,1,0,11
State Agencies and Local Authorities 008,0,0,1
Telecommunications and Financial Services 001,4,0,5
Trade Association 002,0,0,1
Trade Association 005,4,0,2
Trade Association 008,2,0,2
Trade Association 011,11,12,32
Trade Association 013,6,14,36
Trade Association 015,1,1,0
Trade Association 016,2,0,1
Trade Association 022,0,0,2
Trade Association 023,2,1,1
