Category,Neutral,Oppose,Support
Dail Eireann 001,4,19,36
Dail Eireann 004,0,0,3
"Department of Agriculture, Food and the Marine 004",58,7,99
"Department of Business, Employment and Retail 001",0,0,7
Department of Finance 001,0,0,1
Department of Health 001,1,0,7
"Department of Housing, Local Government and Heritage 001",0,0,6
Government of Ireland 001,2,2,23
Inputs 009,0,0,1
Inputs 015,4,0,5
International organisation 007,0,9,0
NGO 001,0,2,1
NGO 002,19,13,20
NGO 004,2,3,2
NGO 005,1,4,5
NGO 008,0,0,3
NGO 009,1,1,1
NGO 011,0,1,0
NGO 016,0,0,1
NGO 017,1,0,1
NGO 025,4,1,0
NGO 026,1,7,19
NGO 028,1,0,1
Political Party 001,0,0,2
Political Party 002,22,35,48
Political Party 003,32,26,78
Political Party 004,10,17,57
Political Party 005,14,22,16
Political Party 006,2,5,17
Political Party 009,11,27,41
Political Party 010,2,0,10
Political Party 011,0,2,1
Political Party 012,1,0,3
Political Party 013,0,2,1
Political party 008,0,4,8
Processors 004,22,4,25
Processors 006,3,0,5
Processors 009,1,1,2
Producers 018,1,1,0
Research and Regulatory 045,1,0,3
Research and Regulatory 055,2,2,3
Research and Regulatory 079,0,1,0
Research and Regulatory 089,2,0,1
Research and Regulatory 092,22,0,13
Research and Regulatory 095,8,0,0
Seanad Eireann 001,18,21,29
Semi-state agency  011,51,34,78
Semi-state agency 012,26,5,27
State Agencies  001,13,4,22
Telecommunications and Financial Services 001,7,1,1
Trade Association 005,7,0,5
Trade Association 006,0,0,2
Trade Association 008,1,0,1
Trade Association 011,14,17,22
Trade Association 013,6,8,14
Trade Association 016,2,0,0
Trade Association 022,0,0,1
